iter	Passed	Remaining
0	0	96
1	1	91
2	2	81
3	2	71
4	3	68
5	4	65
6	4	63
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	59	0
99	60	0
